,UserId,DisplayName,CreationYear,ActiveYears,TotalActivity,TotalQuestions,TotalAnswers,TotalComments
0,2602.0,GendoIkari,2012,9,257.0,4.0,93.0,160.0
1,22772.0,Andrew,2017,4,235.0,1.0,54.0,180.0
2,2537.0,murgatroid99,2012,9,230.0,2.0,56.0,172.0
3,22346.0,L. Scott Johnson,2017,4,186.0,1.0,86.0,99.0
4,1718.0,Hackworth,2011,10,177.0,0.0,85.0,92.0
5,5001.0,Joe W,2013,8,173.0,0.0,29.0,144.0
6,29834.0,ManoFromBerlin,2019,2,153.0,17.0,1.0,135.0
7,13753.0,StartPlayer,2015,6,137.0,3.0,59.0,75.0
8,22016.0,Acccumulation,2017,4,120.0,0.0,33.0,87.0
9,2880.0,ikegami,2012,9,117.0,1.0,20.0,96.0
