,UserId,DisplayName,CreationYear,ActiveYears,TotalActivity,TotalQuestions,TotalAnswers,TotalComments
0,19877.0,PhishMaster,2019,2,760.0,13.0,223.0,524.0
1,20721.0,edwina oliver,2019,2,557.0,32.0,144.0,381.0
2,18809.0,David,2019,2,413.0,0.0,82.0,331.0
3,4418.0,Brian Towers,2014,7,252.0,8.0,183.0,61.0
4,12873.0,Inertial Ignorance,2017,4,214.0,0.0,92.0,122.0
5,15223.0,Allure,2017,4,206.0,17.0,66.0,123.0
6,20776.0,yobamamama,2019,2,165.0,2.0,40.0,123.0
7,12629.0,D M,2017,4,144.0,0.0,37.0,107.0
8,11629.0,user1583209,2016,5,141.0,4.0,39.0,98.0
9,17425.0,Michael West,2018,3,137.0,3.0,34.0,100.0
