,CountryName,GamingScore,BoardGamesScore,ChessGamesScore,PokerGamesScore,TotalUsers_gaming,TotalUsers_boardgames,TotalUsers_chess,TotalUsers_poker,TotalUsersAll
0,United States,20.0,20.0,20.0,20.0,14731.0,4208.0,2378.0,848.0,22165.0
1,United Kingdom,19.0,19.0,18.0,19.0,3470.0,872.0,510.0,204.0,5056.0
2,Germany,18.0,17.0,17.0,17.0,2294.0,469.0,389.0,106.0,3258.0
3,India,17.0,16.0,19.0,18.0,2069.0,396.0,1280.0,196.0,3941.0
4,Canada,16.0,18.0,16.0,16.0,2016.0,518.0,319.0,101.0,2954.0
5,Australia,15.0,15.0,14.0,12.0,1309.0,276.0,183.0,55.0,1823.0
6,France,14.0,14.0,15.0,10.0,1062.0,241.0,190.0,49.0,1542.0
7,Netherlands,13.0,13.0,13.0,9.0,827.0,184.0,133.0,44.0,1188.0
8,Brazil,12.0,11.0,12.0,11.0,703.0,141.0,108.0,51.0,1003.0
9,Sweden,11.0,12.0,9.0,1.0,660.0,153.0,79.0,21.0,913.0
10,Russia,10.0,4.0,7.0,8.0,501.0,79.0,79.0,38.0,697.0
11,Poland,9.0,10.0,10.0,7.0,467.0,116.0,81.0,30.0,694.0
12,Italy,8.0,9.0,11.0,6.0,416.0,114.0,82.0,25.0,637.0
15,Switzerland,5.0,7.0,2.0,4.0,371.0,104.0,56.0,23.0,554.0
